symbol,gap,volume,nbTransactionGap,volumeTransactionGap,volatility,nbWave,averageAmplitude,Cluster
wolf_usdt,-0.5153581280070031,-0.22512035393881905,-0.08959775550667835,-0.1924291417546773,-0.22500069729420535,1.028757878254693,-0.24572370810503294,0
mog_usdt,-0.39026139897976503,-0.21392938882786458,-0.26653277268844455,1.209975180082144,-0.5474375864652999,-0.16866080189981122,-0.2563241241905717,0
xxx_usdt,-0.5810897334715888,-0.23241522514391635,-0.3550002812793276,-0.27466691347840627,-0.9199472486221919,-1.3361440150504529,-0.3019867250556807,0
lbs_usdt,1.7080160746367998,-0.2516019268006991,-0.32972385025336104,-0.21808570438036112,-0.2166420003903895,-0.6176928069577503,0.12734488021139836,3
dags_usdt,-0.5231612110481879,-0.24239152001441716,-0.24125634166247792,-0.20758373255828433,-0.25837109973159256,1.7472090863473955,-0.2402724246266991,0
xrph_usdt,0.45823037718180104,-0.2369010963019316,-0.30444741922739443,-0.18440842473344354,0.17148183574198403,-0.4081445379307121,0.20045973756655677,0
six_usdt,-0.07509752566460487,-0.2520896034781739,-0.3423620657663443,-0.2736482150398537,1.3763738973207091,3.214046969536663,-0.1035866526842213,0
roa_usdt,-0.08203283352577345,-0.24182436882200511,-0.3550002812793276,-0.27466691347840627,-0.7719178356598895,-1.0367893450118268,-0.11341188828325251,0
cr_usdt,0.9547816558542858,-0.2513684429431204,-0.30444741922739443,-0.15608692840614571,-0.7957438136910436,-1.3361440150504529,0.05244318201336857,0
bkpt_usdt,0.29873198488515745,-0.2513726536944266,-0.3170856347403777,-0.2731004349276441,-0.3199584602331641,-0.7074992079693381,-0.03339996064130673,0
vrc_usdt,-0.15935305218902654,-0.2466774511216741,-0.12751240204562825,-0.2235679862388363,-0.08940042045916016,2.196241091405335,-0.23811952654911644,0
bad_usdt,-0.6081385910775685,-0.24300352716874069,-0.3550002812793276,-0.27466691347840627,-0.8058783970904543,-1.0667248120156894,-0.25991183688035446,0
wfca_usdt,-0.5100839323747276,-0.18753202660937734,-0.3550002812793276,-0.27466691347840627,-0.7159538120056215,-0.37820907092684947,-0.30623012871910543,0
grok_usdt,-0.5703702748859151,-0.24454005403722986,-0.26653277268844455,-0.2633974685336012,-0.4875316112279537,0.25043573615426523,-0.2735763416430386,0
hefi_usdt,-0.5200422272917401,-0.2518962356280306,-0.3550002812793276,-0.27466691347840627,-0.5976371048119281,-0.7673701419770633,-0.21211787189582243,0
